# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:rho
2560	4.0000000000001878e-01	0	0	64	2	2	-4.5968750000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	65	2	2	-4.5906249999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	66	2	2	-4.5843750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	67	2	2	-4.5781250000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	68	2	2	-4.5718750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	69	2	2	-4.5656249999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	70	2	2	-4.5593750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	71	2	2	-4.5531250000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	72	2	2	-4.5468750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	73	2	2	-4.5406249999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	74	2	2	-4.5343749999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	75	2	2	-4.5281250000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	76	2	2	-4.5218750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	77	2	2	-4.5156250000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	78	2	2	-4.5093749999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	79	2	2	-4.5031250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	80	2	2	-4.4968750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	81	2	2	-4.4906250000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	82	2	2	-4.4843749999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	83	2	2	-4.4781250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	84	2	2	-4.4718750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	85	2	2	-4.4656250000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	86	2	2	-4.4593749999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	87	2	2	-4.4531250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	88	2	2	-4.4468750000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	89	2	2	-4.4406250000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	90	2	2	-4.4343749999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	91	2	2	-4.4281250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	92	2	2	-4.4218750000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	93	2	2	-4.4156250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	94	2	2	-4.4093749999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	95	2	2	-4.4031250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	96	2	2	-4.3968750000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	97	2	2	-4.3906250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	98	2	2	-4.3843749999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	99	2	2	-4.3781249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	100	2	2	-4.3718750000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	101	2	2	-4.3656250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
