# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:Bvecx	12:Bvecy	13:Bvecz
1280	3.9999999999999286e-01	0	0	93	2	2	-3.8312499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999828630483423e-01	-4.5530670269322906e-18
1280	3.9999999999999286e-01	0	0	94	2	2	-3.8187500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000000e-01	9.9999728716970515e-01	3.0844880723467068e-17
1280	3.9999999999999286e-01	0	0	95	2	2	-3.8062499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	4.9999999999999978e-01	9.9999573793986629e-01	1.7506782387347347e-17
1280	3.9999999999999286e-01	0	0	96	2	2	-3.7937500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	4.9999999999999989e-01	9.9999335549397617e-01	-1.1812448824159943e-17
1280	3.9999999999999286e-01	0	0	97	2	2	-3.7812499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9998972248231466e-01	-1.5682066554452214e-17
1280	3.9999999999999286e-01	0	0	98	2	2	-3.7687500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000011e-01	9.9998423010715531e-01	-2.9406872960082528e-17
1280	3.9999999999999286e-01	0	0	99	2	2	-3.7562499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9997599985310115e-01	9.3690928715739678e-18
1280	3.9999999999999286e-01	0	0	100	2	2	-3.7437500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.9996377824647897e-01	-9.0177726351159882e-18
1280	3.9999999999999286e-01	0	0	101	2	2	-3.7312499999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.9994579776076320e-01	-7.6987847218946449e-17
1280	3.9999999999999286e-01	0	0	102	2	2	-3.7187500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000056e-01	9.9991959656205875e-01	-4.0898812470395703e-17
1280	3.9999999999999286e-01	0	0	103	2	2	-3.7062500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.9988178982824905e-01	-2.6796783105476289e-17
1280	3.9999999999999286e-01	0	0	104	2	2	-3.6937500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9982778675780715e-01	-8.8504628855881170e-17
1280	3.9999999999999286e-01	0	0	105	2	2	-3.6812500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9975144997215337e-01	-9.4406033194180773e-17
1280	3.9999999999999286e-01	0	0	106	2	2	-3.6687500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000056e-01	9.9964469898733710e-01	-7.8953745070786951e-17
1280	3.9999999999999286e-01	0	0	107	2	2	-3.6562500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.9949706696476026e-01	-7.7885951468372682e-17
1280	3.9999999999999286e-01	0	0	108	2	2	-3.6437500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000000e-01	9.9929523022856115e-01	-6.3991756374295941e-17
1280	3.9999999999999286e-01	0	0	109	2	2	-3.6312500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000011e-01	9.9902254343339836e-01	-4.6954828134673946e-17
1280	3.9999999999999286e-01	0	0	110	2	2	-3.6187500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000056e-01	9.9865862828190877e-01	-5.2890219404271305e-17
1280	3.9999999999999286e-01	0	0	111	2	2	-3.6062500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.9817907948569462e-01	-3.1610231028339791e-17
